Category,Total Count
Time Dimension,397
Space Dimension,428
Narrative Intents,323
Clustering and Taxonomy,217
User Interaction Types,204
Positive Experience Types,314
Negative Load Types,196
Software-Driven Techniques,147
Hardware-Assisted Techniques,51
Contextual Applications,228
Domain-Specific Applications,207
